"Compound name","Smiles","logkp (cm/s)","skin source site","used layer","skin preparation","storage temperature (°C)","storage duration (days)","neat","donor/skin surface temperature (°C)","donor pH","donor type","acceptor temperature (°C)","acceptor pH","acceptor type","cell type","reference","DOI"
"1-Octanol","CCCCCCCCO","-4.833","abdomen","epidermis without stratum corneum","tape-stripped","-20","","0","","","","37","","","Glass diffusion cell","Chantasart, 2010","10.1007/s11095-010-0181-z"
"1-Octanol","CCCCCCCCO","-5.141","abdomen","dermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Octanol","CCCCCCCCO","-8.255","abdomen","dermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Octanol","CCCCCCCCO","-4.771","abdomen","stratum corneum","heat separation, hydrated","","","0","30","","","","","","Glass diffusion cell","Southwell, 1984","10.1016/0378-5173(84)90145-5"
"1-Octyl-2-Azacycloheptanone","CCCCCCCCN1CCCCCC1=O","-4.836","abdomen","epidermis","heat separation","-20","","0","","","","37","","","Glass diffusion cell","Chantasart, 2010","10.1007/s11095-010-0181-z"
"1-Octyl-2-Azacycloheptanone","CCCCCCCCN1CCCCCC1=O","-4.674","abdomen","epidermis without stratum corneum","tape-stripped","-20","","0","","","","37","","","Glass diffusion cell","Chantasart, 2010","10.1007/s11095-010-0181-z"
"1-Octyl-2-Pyrrolidone","CCCCCCCCN1CCCC1=O","-4.827","abdomen","epidermis","heat separation","-20","","0","","","","37","","","Glass diffusion cell","Chantasart, 2010","10.1007/s11095-010-0181-z"
"1-Octyl-2-Pyrrolidone","CCCCCCCCN1CCCC1=O","-4.81","abdomen","epidermis without stratum corneum","tape-stripped","-20","","0","","","","37","","","Glass diffusion cell","Chantasart, 2010","10.1007/s11095-010-0181-z"
"1-Pentanol","CCCCCO","-5.778","abdomen","epidermis, dermis","fat removed","","","0","22","","NaCl solution","22","","NaCl solution","","Blank, 1964","10.1038/jid.1964.174"
"1-Pentanol","CCCCCO","-5.125","abdomen","epidermis","heat separation","-20","","0","","","","37","","","Glass diffusion cell","Chantasart, 2010","10.1007/s11095-010-0181-z"
"1-Pentanol","CCCCCO","-5.778","abdomen","epidermis","heat separation","","","0","","","","","","","Pyrex cell","Scheuplein, 1965","10.1038/jid.1965.140"
"1-Pentanol","CCCCCO","-5.778","abdomen","epidermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Pentanol","CCCCCO","-7.849","abdomen","epidermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Pentanol","CCCCCO","-2.778","abdomen","dermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","Scheuplein, 1971","10.1152/physrev.1971.51.4.702"
"1-Pentanol","CCCCCO","-5.176","abdomen","dermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Pentanol","CCCCCO","-6.653","abdomen","dermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Propanol","CCCO","-6.556","abdomen","epidermis, dermis","fat removed","","","0","22","","NaCl solution","22","","NaCl solution","","Blank, 1964","10.1038/jid.1964.174"
"1-Propanol","CCCO","-6.41","abdomen","epidermis","heat separation","","","0","","","","","","","Pyrex cell","Scheuplein, 1965","10.1038/jid.1965.140"
"1-Propanol","CCCO","-6.326","","epidermis","","","","0","30","","","30","","","","Scheuplein, 1967","10.1038/jid.1967.11"
"1-Propanol","CCCO","-3.41","","","","","","0","","","","","","","","Scheuplein, 1971","10.1152/physrev.1971.51.4.702"
"1-Propanol","CCCO","-6.477","abdomen","epidermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Propanol","CCCO","-7.352","abdomen","epidermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Propanol","CCCO","-5.065","abdomen","dermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Propanol","CCCO","-6.301","abdomen","dermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"17-Hydroxyprogesterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@]2(O)C(=O)C)C)C","-6.778","","epidermis","","","","0","26","","","26","","","","Scheuplein, 1969","10.1038/jid.1969.9"
"2,3-Butanediol","CC(C(O)C)O","-7.857","abdomen","epidermis","heat separation","","","0","","","","","","","Glass diffusion cell","Blank, 1967","10.1038/jid.1967.184"
"2,3-Butanediol","CC(C(O)C)O","-7.857","","epidermis","","","","0","30","","","30","","","","Scheuplein, 1967","10.1038/jid.1967.11"
"2,4,6-Trichlorophenol","Clc1cc(Cl)c(c(c1)Cl)O","-4.783","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"2,4-Dichlorophenol","Clc1ccc(c(c1)Cl)O","-5.065","abdomen","epidermis","prepared with NaBr solution","-80","","0","","","NaCl, sodium azide","","","","","Buist, 2010","10.1016/j.yrtph.2010.02.008"
"2,4-Dichlorophenol","Clc1ccc(c(c1)Cl)O","-4.778","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"2-(2-Ethoxyethoxy)ethanol","OCCOCCOCC","-7.436","abdomen","epidermis","heat separation","","","1","30","","","30","","Water","Glass diffusion cell","Dugard, 1984","10.1289/ehp.8457193"
"2-(2-Methoxyethoxy)ethanol","COCCOCCO","-7.242","abdomen","epidermis","heat separation","","","1","30","","","30","","Water","Glass diffusion cell","Dugard, 1984","10.1289/ehp.8457193"
"2-Amino-4-Nitrophenol","[O-][N+](=O)c1ccc(c(c1)N)O","-8.079","abdomen","epidermis","heat separation","4","28","0","32","9.7","Borate buffer","32","","NaCl solution","Glass diffusion cell","Bronaugh, 1984","10.1111/1523-1747.ep12263302"
"2-Amino-4-Nitrophenol","[O-][N+](=O)c1ccc(c(c1)N)O","-6.737","abdomen","epidermis","heat separation","4","28","0","32","","Water","32","","NaCl solution","Glass diffusion cell","Bronaugh, 1984","10.1111/1523-1747.ep12263302"
"2-Butoxyethanol","CCCCOCCO","-5.268","breast","epidermis, dermis","dermatomed 330um","-70","","0","","7.4","","32","7.4","Eagle’s Minimal Essential Medium, sodium hydrogen carbonate, gentamicin","Glass diffusion cell","Wilkinson, 2002","10.1007/s00420-002-0367-8"
"2-Butoxyethanol","CCCCOCCO","-7.226","abdomen","epidermis","heat separation","","","1","30","","","30","","Water","Glass diffusion cell","Dugard, 1984","10.1289/ehp.8457193"
"2-Ethoxyethanol","OCCOCC","-7.158","abdomen","epidermis","heat separation","","","0","","","","","","","Glass diffusion cell","Blank, 1967","10.1038/jid.1967.184"
"2-Ethoxyethanol","OCCOCC","-7.158","","epidermis","","","","0","30","","","30","","","","Scheuplein, 1967","10.1038/jid.1967.11"
"2-Ethoxyethanol","OCCOCC","-5.634","breast","epidermis, dermis","dermatomed 330um","-70","","0","","7.4","","32","7.4","Eagle’s Minimal Essential Medium, sodium hydrogen carbonate, gentamicin","Glass diffusion cell","Wilkinson, 2002","10.1007/s00420-002-0367-8"
"2-Ethoxyethanol","OCCOCC","-7.785","breast","epidermis, dermis","dermatomed 330um","","","0","","","Methanol","32","7.3","Cell culture medium","Flow through cell","Lockley, 2002","10.1006/taap.2002.9373"
"2-Ethoxyethanol","OCCOCC","-7.687","breast","epidermis, dermis","dermatomed 330um","","","1","","","","32","7.3","Cell culture medium","Flow through cell","Lockley, 2002","10.1006/taap.2002.9373"
"2-Ethoxyethanol","OCCOCC","-6.631","abdomen","epidermis","heat separation","","","1","30","","","30","","Water","Glass diffusion cell","Dugard, 1984","10.1289/ehp.8457193"
"2-Ethoxyethanol","OCCOCC","-5.647","breast","epidermis, dermis","dermatomed 330um","-70","","0","","7.4","","32","7.4","Eagle’s Minimal Essential Medium, sodium hydrogen carbonate, gentamicin, 2% (w/v) bovine serum albumin fraction V","Glass diffusion cell","Wilkinson, 2002","10.1007/s00420-002-0367-8"
"2-Ethoxyethanol","OCCOCC","-5.63","breast","epidermis, dermis","dermatomed 330um","-70","","0","","7.4","","32","7.4","Eagle’s Minimal Essential Medium, sodium hydrogen carbonate, gentamicin, 2% PEG 20","Glass diffusion cell","Wilkinson, 2002","10.1007/s00420-002-0367-8"
"2-Ethoxyethanol","OCCOCC","-5.545","breast","epidermis, dermis","dermatomed 330um","-70","","0","","7.4","","32","7.4","","Glass diffusion cell","Wilkinson, 2002","10.1007/s00420-002-0367-8"
"2-Ethoxyethyl acetate","CCOCCOC(=O)C","-2.839","","stratum corneum","heat separation","4","2","1","","","","37","7.1","Dulbecco PBS","Franz cell","Barber, 1992","10.1016/0272-0590(92)90086-W"
"2-Ethoxyethyl acetate","CCOCCOC(=O)C","-6.649","abdomen","epidermis","heat separation","","","1","30","","","30","","Water","Glass diffusion cell","Dugard, 1984","10.1289/ehp.8457193"
"2-Ethylhexanol","CCCCC(CO)CC","-4.343","","stratum corneum","heat separation","4","2","1","","","","30","7.1","Dulbecco PBS","Franz cell","Barber, 1992","10.1016/0272-0590(92)90086-W"
"2-Hydroxypropyl Nicotinate","CC(COC(=O)c1cccnc1)O","-8.025","abdomen, breast","epidermis","heat separation","4","","0","37","7.4","","37","","PBS","Franz cell","Dalpozzo, 1991","10.1002/jps.2600800114"
"2-Methoxyethanol","COCCO","-6.095","abdomen","epidermis","heat separation","","","1","30","","","30","","Water","Glass diffusion cell","Dugard, 1984","10.1289/ehp.8457193"
"2-Naphthol","Oc1ccc2c(c1)cccc2","-5.111","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"2-Naphthol","Oc1ccc2c(c1)cccc2","-4.757","abdomen","epidermis","heat separation","-20","90","0","32","7.4","PBS","32","","PBS with ethanol","Franz cell","Zhang, 2009","10.1007/s11095-009-9912-4"
"2-Nitro-p-Phenylenediamine","Nc1ccc(c(c1)[N+](=O)[O-])N","-6.857","abdomen","epidermis","heat separation","4","28","0","32","9.7","Borate buffer","32","","NaCl solution","Glass diffusion cell","Bronaugh, 1984","10.1111/1523-1747.ep12263302"
"2-phenoxyethanol","OCCOc1ccccc1","-6.43","abdomen, leg, breast","epidermis, dermis","dermatomed 330um","","","0","37","","Methanol","37","","Cell culture medium","Flow through cell","Roper, 1997","10.1016/s0278-6915(97)00109-9"
"2-Phenylethanol","OCCc1ccccc1","-5.276","abdomen","epidermis","heat separation","-20","","0","","","","37","","","Glass diffusion cell","Chantasart, 2010","10.1007/s11095-010-0181-z"
"2-Phenylphenol","Oc1ccccc1c1ccccc1","-6.355","abdomen","epidermis, dermis","","-20","","0","","","Ethanol 60%","32","","Dulbecco’s MEM, Hepes, Ham F-12+glutamax-I, BSA,L-glutamine, hydrocortisone, EGF, gentamycin","Static diffusion cell","Cnubben, 2002","10.1006/rtph.2001.1530"
"2-Phenylphenol","Oc1ccccc1c1ccccc1","-5.294","abdomen","epidermis","prepared with NaBr solution","-20","","0","","","Ethanol 60%","32","","0.9% NaCl, 0.01% sodium azide, 3% BSA","Static diffusion cell","Cnubben, 2002","10.1006/rtph.2001.1530"
"2-Propoxyethanol","CCCOCCO","-3.192","","stratum corneum","heat separation","4","2","1","","","","30","7.1","Dulbecco PBS","Franz cell","Barber, 1992","10.1016/0272-0590(92)90086-W"
"2-Propoxyethanol","CCCOCCO","-6.543","abdomen","epidermis, dermis","fat removed","-25","120","0","","","","32","","NaCl solution","Franz cell","Venier, 2004","10.1016/j.tiv.2004.03.004"
"2-Propoxyethanol","CCCOCCO","-6.923","abdomen","epidermis, dermis","fat removed","-25","120","1","","","","32","","NaCl solution","Franz cell","Venier, 2004","10.1016/j.tiv.2004.03.004"
"3,4-Xylenol","Oc1ccc(c(c1)C)C","-5","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"4,4'-Methylenedianiline","Nc1ccc(cc1)Cc1ccc(cc1)N","-6.219","abdomen","epidermis, dermis","fat removed","-20","","0","32","","Ethanol","","","NaCl solution","Flow through cell","Kenyon, 2004","10.1016/j.tox.2003.11.004"
"4-Amino-2-Nitrophenol","Nc1ccc(c(c1)[N+](=O)[O-])O","-7.622","abdomen","epidermis","heat separation","4","28","0","32","9.7","Borate buffer","32","","NaCl solution","Glass diffusion cell","Bronaugh, 1984","10.1111/1523-1747.ep12263302"
"4-Amino-2-Nitrophenol","Nc1ccc(c(c1)[N+](=O)[O-])O","-6.109","abdomen","epidermis","heat separation","4","28","0","32","","Water","32","","NaCl solution","Glass diffusion cell","Bronaugh, 1984","10.1111/1523-1747.ep12263302"
"4-Chloro-m-Phenylenediamine","Nc1ccc(c(c1)N)Cl","-6.234","abdomen","epidermis","heat separation","4","28","0","32","9.7","Borate buffer","32","","NaCl solution","Glass diffusion cell","Bronaugh, 1984","10.1111/1523-1747.ep12263302"
"4-Cyanophenol","N#Cc1ccc(cc1)O","-5.731","back, leg","epidermis","heat separation","-70","","0","32","7.4","PBS","32","7.4","PBS with sodium azide","","Romonchuk, 2010","10.1159/000272121"
"4-Hydroxybenzyl alcohol","OCc1ccc(cc1)O","-6.255","abdomen","stratum corneum","dry heat separation","","","0","","4","Succinate solution","","","","Flow through cell","Anderson, 1989","10.1111/1523-1747.ep12277592"
"4-Hydroxyphenylacetamide","NC(=O)Cc1ccc(cc1)O","-6.903","abdomen","stratum corneum","dry heat separation","","","0","","4","Succinate solution","","","","Flow through cell","Anderson, 1989","10.1111/1523-1747.ep12277592"
"4-Hydroxyphenylacetic acid","OC(=O)Cc1ccc(cc1)O","-6.158","abdomen","stratum corneum","dry heat separation","","","0","","4","Succinate solution","","","","Flow through cell","Anderson, 1989","10.1111/1523-1747.ep12277592"
"4-Propoxyphenol","CCCOc1ccc(cc1)O","-5.38","abdomen","epidermis","heat separation","-20","90","0","32","7.4","PBS","32","","PBS with ethanol","Franz cell","Zhang, 2009","10.1007/s11095-009-9912-4"
"5-Aminolevulinic acid","NCC(=O)CCC(=O)O","-7.711","abdomen","epidermis","heat separation","-20","60","0","35","7.4","HEPES","35","","","Glass diffusion cell","Krishnan, 2011","10.1002/bip.21520"
"5-Fluorouracil","Fc1c[nH]c(=O)[nH]c1=O","-7.297","thigh","epidermis","heat separation","4","7","0","32","7.2","PBS","","","","","Hirvonen, 1991","10.1023/a:1015824100788"
"5-Fluorouracil","Fc1c[nH]c(=O)[nH]c1=O","-7.574","abdomen","stratum corneum","heat separation, hydrated","-20","","0","32","","","32","","Sodium azide","","Williams, 1992","10.1016/0378-5173(92)90032-W"
"5-Fluorouracil","Fc1c[nH]c(=O)[nH]c1=O","-8.015","abdomen","epidermis, dermis","dermatomed 420um","-24","","0","31","","NaCl solution","31","","Sodium azide","Flow through cell","Rigg, 1990","10.1111/1523-1747.ep12874561"
"Acetic acid","CC(=O)O","-6.079","abdomen","epidermis","prepared with NaBr solution","-80","","0","","","NaCl, sodium azide","","","","","Buist, 2010","10.1016/j.yrtph.2010.02.008"
"Acetylsalicylic Acid","CC(=O)Oc1ccccc1C(=O)O","-5.696","abdomen","epidermis, dermis","","","","0","","","Water","37","7.4","PBS","Franz cell","Degim, 1998","10.1016/S0378-5173(98)00113-6"
"Acyclovir","Nc1nc(=O)c2c([nH]1)n(COCCO)cn2","-7.079","abdomen","epidermis, dermis","fat removed","","","0","","7.4","PBS","","7.4","PBS","Franz cell","Volpato, 1998","10.1016/S0168-3659(97)00152-1"
